# Complete graph of size 1023 discarding 100%
# susceptible, standard deviation, infected, standard deviation, resolved, standard deviation
1022,0,1,0,0,0
1020,0,2,0,1,0
1016.01,0.0999999999999999,3.99,0.09999999999999999,3,0
1008.08,0.39389277113386467,7.93,0.3258245174347934,6.99,0.09999999999999999
992.38,1.1527744310527044,15.7,0.8102873913406632,14.92,0.39389277113386434
962.06,3.0971475961476616,30.32,2.102811970152867,30.62,1.1527744310527062
905.88,7.12412319609447,56.18,4.353983430971197,60.94,3.097147596147661
809.85,14.6910094130988,96.03,8.287089874368357,117.12,7.12412319609447
665.78,24.859841455080062,144.07,11.744119525717688,213.15,14.691009413098799
491.63,32.9307982707294,174.15,11.29617348280095,357.22,24.859841455080062
339.76,31.02918795344965,151.87,10.33152965685648,531.37,32.9307982707294
245.25,25.257212191308202,94.51,11.933735391906445,683.24,31.02918795344965
201.94,20.654845103815866,43.31,9.781135213287161,777.75,25.257212191308202
184.72,18.32814251583635,17.22,6.099478368158737,821.06,20.654845103815862
178.96,17.117490611900006,5.76,3.266357437435607,838.28,18.328142515836355
177,16.55294535724685,1.96,1.722811889929022,844.04,17.11749061190001
177.30666666666667,16.433299526672457,0.9733333333333334,1.196541562885181,844.72,16.750603054896345
178.8048780487805,18.807205417332906,0.5609756097560976,0.7088293337540736,843.6341463414634,18.829174301547283
179,14.004201050357123,0.16666666666666666,0.3834824944236852,843.8333333333334,14.101522654538785
186.33333333333334,25.774664562964407,0,0,836.6666666666666,25.774664562964407
